user_name,twitter_id,party_name,state,office_title,account_type,first_name,middle_name,last_name,suffix,status,collecting,showing,bioguide_id,gender,fec_candidate_id,district,branch
Salem4Congress,1200665885482127360,Democrat,PA,House Candidate,campaign,Salem,"",Snow,"",1,true,true,,"",H0PA02091,02,H
WmBarlowIII,1350138259830030336,Democrat,OR,Senate Candidate,campaign,Will,"",Barlow,"",1,true,true,,M,S2OR00127,00,S
mark_gamba,60739515,Democrat,OR,House Candidate,campaign,Mark,"",Gamba,"",1,true,true,,M,H0OR05096,05,H
JacksonLahmeyer,1136851160424300545,Republican,OK,Senate Candidate,campaign,Jackson,"",Lahmeyer,"",1,true,true,,M,S2OK00111,00,S
MichaelLeipold2,1359556088568438791,Republican,OH,Senate Candidate,campaign,Michael,"",Leipold,"",1,true,true,,M,S2OH00329,00,S
JillPatriotOhio,1347951439079997444,Republican,OH,House Candidate,campaign,Jill,Eaton,Simms,"",1,true,true,,F,H2OH13207,13,H
BaddarForYou,1325853532331847680,Other,OH,House Candidate,campaign,Youseff,"",Baddar,"",1,true,true,,M,H2OH05047,05,H
Sites4Ohio,1155192538535550976,Democrat,OH,House Candidate,campaign,Jeff,"",Sites,"",1,true,true,,M,H0OH04085,04,H
matthewmeadeOH,169114843,Democrat,OH,House Candidate,campaign,Matthew,"",Meade,"",1,true,true,,M,H2OH03174,03,H
tyrrellbenavi,822366692948873216,Other,NY,Senate Candidate,campaign,Tyrrell,"",Ben-Avi,"",1,true,true,,M,S2NY00374,00,S
PhahnFor,923979286155071488,Republican,NY,Senate Candidate,campaign,Pat,"",Hahn,"",1,true,true,,"",S2NY00390,00,S
Mugulusi4Senate,1226348945699491840,Democrat,NY,Senate Candidate,campaign,Moses,"",Mugulusi,"",1,true,true,,M,S2NY00366,00,S
KhaledYork,1280157210039988224,Democrat,NY,Senate Candidate,campaign,Khaled,"",Salem,"",1,true,true,,M,S0NY00667,00,S
colinschmitt,18091773,Republican,NY,House Candidate,campaign,Colin,"",Schmitt,"",1,true,true,,M,H2NY18087,18,H
